,Title,Author,ID,Created,Original_Title,Without_stopwords,Lemmatized_Words,Pos_tags
10,"['apple', 'vision', 'pro', 'stolen']",Best_Craft_1282,1ao6dvl,2024-02-11 11:58:45,Apple Vision Pro Stolen,"['apple', 'vision', 'pro', 'stolen']","['apple', 'vision', 'pro', 'stolen']","[('[', 'JJ'), (""'apple"", 'NNP'), (""'"", 'POS'), (',', ','), (""'vision"", 'NN'), (""'"", ""''""), (',', ','), (""'pro"", 'NNP'), (""'"", 'POS'), (',', ','), (""'stolen"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
11,"['folks', 'know', 'whats', 'coming', 'right']",Many_Requirement_398,1aur1aq,2024-02-19 16:12:16,"Folks know what’s coming, right?","['folks', 'know', 'whats', 'coming', 'right']","['folks', 'know', 'whats', 'coming', 'right']","[('[', 'JJ'), (""'folks"", 'NNS'), (""'"", 'POS'), (',', ','), (""'know"", 'NNP'), (""'"", 'POS'), (',', ','), (""'whats"", 'NNS'), (""'"", 'POS'), (',', ','), (""'coming"", 'VBG'), (""'"", ""''""), (',', ','), (""'right"", 'VBD'), (""'"", 'POS'), (']', 'NN')]"
12,"['best', 'new', 'product', 'ive', 'ever', 'seen']",Sea_Astronomer_994,1am800c,2024-02-08 22:19:35,Best new product I’ve ever seen,"['best', 'new', 'product', 'ive', 'ever', 'seen']","['best', 'new', 'product', 'ive', 'ever', 'seen']","[('[', 'RB'), (""'best"", 'JJS'), (""'"", ""''""), (',', ','), (""'new"", 'NNP'), (""'"", 'POS'), (',', ','), (""'product"", 'NN'), (""'"", ""''""), (',', ','), (""'ive"", 'CD'), (""'"", ""''""), (',', ','), (""'ever"", ""''""), (""'"", ""''""), (',', ','), (""'seen"", ""''""), (""'"", 'POS'), (']', 'NN')]"
13,"['who', 'is', 'obsessed', 'with', 'the', 'vision', 'pro']",cr8tvt,1b3a9w7,2024-02-29 20:23:09,Who is obsessed with the Vision Pro?,"['obsessed', 'vision', 'pro']","['obsessed', 'vision', 'pro']","[('[', 'NNS'), (""'obsessed"", 'VBD'), (""'"", ""''""), (',', ','), (""'vision"", 'NNP'), (""'"", 'POS'), (',', ','), (""'pro"", 'FW'), (""'"", 'POS'), (']', 'NN')]"
14,"['really', 'want', 'to', 'keep', 'it', 'but', 'why']",dennis77,1ay21f7,2024-02-23 14:40:03,"Really want to keep it, but why? ","['really', 'want', 'keep']","['really', 'want', 'keep']","[('[', 'RB'), (""'really"", 'RB'), (""'"", ""''""), (',', ','), (""'want"", 'NNP'), (""'"", 'POS'), (',', ','), (""'keep"", ""''""), (""'"", 'POS'), (']', 'NN')]"
15,"['i', 'just', 'released', 'my', 'first', 'vision', 'pro', 'app', 'sticky', 'vision']",metroidmen,1at8zui,2024-02-17 18:44:01,"I just released my first Vision Pro app, Sticky Vision!","['released', 'first', 'vision', 'pro', 'app', 'sticky', 'vision']","['released', 'first', 'vision', 'pro', 'app', 'sticky', 'vision']","[('[', 'NNS'), (""'released"", 'VBD'), (""'"", ""''""), (',', ','), (""'first"", 'NNP'), (""'"", 'POS'), (',', ','), (""'vision"", 'NN'), (""'"", ""''""), (',', ','), (""'pro"", 'NNP'), (""'"", 'POS'), (',', ','), (""'app"", 'NNP'), (""'"", 'POS'), (',', ','), (""'sticky"", 'NNP'), (""'"", 'POS'), (',', ','), (""'vision"", 'NN'), (""'"", 'POS'), (']', 'NN')]"
16,"['the', 'miracles', 'and', 'sins', 'of', 'the', 'avp']",Jbaker318,1b1fsd3,2024-02-27 16:18:10,The 5 Miracles and 5 Sins of the AVP,"['miracles', 'sins', 'avp']","['miracles', 'sins', 'avp']","[('[', 'JJ'), (""'miracles"", 'NNS'), (""'"", 'POS'), (',', ','), (""'sins"", 'NNS'), (""'"", 'POS'), (',', ','), (""'avp"", ""''""), (""'"", 'POS'), (']', 'NN')]"
17,"['multiple', 'displays', 'are', 'coming', 'to', 'avp']",johnycane,1aw2yy6,2024-02-21 04:26:23,Multiple displays are coming to AVP,"['multiple', 'displays', 'coming', 'avp']","['multiple', 'displays', 'coming', 'avp']","[('[', 'JJ'), (""'multiple"", 'NNP'), (""'"", 'POS'), (',', ','), (""'displays"", 'NNS'), (""'"", 'POS'), (',', ','), (""'coming"", 'VBG'), (""'"", ""''""), (',', ','), (""'avp"", ""''""), (""'"", 'POS'), (']', 'NN')]"
18,"['you', 'know', 'what', 'i', 'mean']",the_DDDom,141q6pm,2023-06-05 20:09:32,You know what I mean,"['know', 'mean']","['know', 'mean']","[('[', 'RB'), (""'know"", 'NNP'), (""'"", 'POS'), (',', ','), (""'mean"", ""''""), (""'"", 'POS'), (']', 'NN')]"
19,"['im', 'keeping', 'it']",Fabulous_Sherbet_431,1b476o5,2024-03-01 22:11:10,I'm keeping it,"['im', 'keeping']","['im', 'keeping']","[('[', 'JJ'), (""'im"", 'NNP'), (""'"", 'POS'), (',', ','), (""'keeping"", 'VBG'), (""'"", ""''""), (']', 'NN')]"
20,"['i', 'just', 'had', 'my', 'mind', 'blown', 'away']",deuceklub,1aq0ld6,2024-02-13 18:27:24,I just had my mind blown away....,"['mind', 'blown', 'away']","['mind', 'blown', 'away']","[('[', 'JJ'), (""'mind"", 'NNP'), (""'"", 'POS'), (',', ','), (""'blown"", ""''""), (""'"", ""''""), (',', ','), (""'away"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
21,"['its', 'happening', 'over', 'native', 'apps', 'launch', 'for', 'apple', 'vision', 'pro']",SpenceHere,1aggfhi,2024-02-01 17:28:27,It’s happening! Over 600 native apps @ launch for Apple Vision Pro!!,"['happening', 'native', 'apps', 'launch', 'apple', 'vision', 'pro']","['happening', 'native', 'apps', 'launch', 'apple', 'vision', 'pro']","[('[', 'RB'), (""'happening"", 'VBG'), (""'"", ""''""), (',', ','), (""'native"", 'CD'), (""'"", ""''""), (',', ','), (""'apps"", 'NNP'), (""'"", 'POS'), (',', ','), (""'launch"", ""''""), (""'"", ""''""), (',', ','), (""'apple"", ""''""), (""'"", ""''""), (',', ','), (""'vision"", 'NNP'), (""'"", 'POS'), (',', ','), (""'pro"", 'FW'), (""'"", 'POS'), (']', 'NN')]"
22,"['phenomenal', 'review', 'by', 'david', 'heaney']",VR4EVER,1aszrqj,2024-02-17 11:21:37,Phenomenal review by David Heaney,"['phenomenal', 'review', 'david', 'heaney']","['phenomenal', 'review', 'david', 'heaney']","[('[', 'JJ'), (""'phenomenal"", 'NNP'), (""'"", 'POS'), (',', ','), (""'review"", 'NNP'), (""'"", 'POS'), (',', ','), (""'david"", 'NNP'), (""'"", 'POS'), (',', ','), (""'heaney"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
23,"['saw', 'dune', 'in', 'true', 'imax', 'was', 'disappointed']",Old_Possible8977,1b4ijnt,2024-03-02 07:26:41,Saw Dune 2 in true IMAX. Was disappointed.,"['saw', 'dune', 'true', 'imax', 'disappointed']","['saw', 'dune', 'true', 'imax', 'disappointed']","[('[', 'NN'), (""'saw"", 'NNP'), (""'"", 'POS'), (',', ','), (""'dune"", 'NNP'), (""'"", 'POS'), (',', ','), (""'true"", ""''""), (""'"", ""''""), (',', ','), (""'imax"", 'NNP'), (""'"", 'POS'), (',', ','), (""'disappointed"", 'VBD'), (""'"", 'POS'), (']', 'NN')]"
24,"['avp', 'was', 'my', 'first', 'apple', 'device', 'ever']",firebird8541154,1ajlhkk,2024-02-05 17:04:51,AVP Was My First Apple Device Ever!,"['avp', 'first', 'apple', 'device', 'ever']","['avp', 'first', 'apple', 'device', 'ever']","[('[', 'JJ'), (""'avp"", 'NNP'), (""'"", 'POS'), (',', ','), (""'first"", 'NNP'), (""'"", 'POS'), (',', ','), (""'apple"", ""''""), (""'"", ""''""), (',', ','), (""'device"", 'NNP'), (""'"", 'POS'), (',', ','), (""'ever"", ""''""), (""'"", 'POS'), (']', 'NN')]"
25,"['dear', 'tim']",SnooMacarons5173,197rsvv,2024-01-16 02:42:19,"Dear Tim,","['dear', 'tim']","['dear', 'tim']","[('[', 'JJ'), (""'dear"", ""''""), (""'"", 'POS'), (',', ','), (""'tim"", ""''""), (""'"", 'POS'), (']', 'NN')]"
26,"['upvote', 'if', 'your', 'reading', 'this', 'on', 'an', 'avp']",Sad-Sun9414,1b38cs4,2024-02-29 19:05:24,upvote if your reading this on an avp,"['upvote', 'reading', 'avp']","['upvote', 'reading', 'avp']","[('[', 'JJ'), (""'upvote"", 'NNP'), (""'"", 'POS'), (',', ','), (""'reading"", 'VBG'), (""'"", ""''""), (',', ','), (""'avp"", ""''""), (""'"", 'POS'), (']', 'NN')]"
27,"['why', 'it', 'will', 'succeed']",edentel,1ar7ilp,2024-02-15 04:50:20,Why it will succeed,['succeed'],['succeed'],"[('[', 'RB'), (""'succeed"", 'MD'), (""'"", ""''""), (']', 'VB')]"
28,"['decision', 'made', 'im', 'keeping', 'it']",diybudgeting,1aqnepo,2024-02-14 13:54:36,Decision made. I'm keeping it,"['decision', 'made', 'im', 'keeping']","['decision', 'made', 'im', 'keeping']","[('[', 'JJ'), (""'decision"", 'NN'), (""'"", ""''""), (',', ','), (""'made"", ""''""), (""'"", ""''""), (',', ','), (""'im"", 'NNP'), (""'"", 'POS'), (',', ','), (""'keeping"", 'VBG'), (""'"", ""''""), (']', 'NN')]"
29,"['splitscreen', 'is', 'available', 'now', 'and', 'lets', 'you', 'add', 'a', 'second', 'mac', 'display', 'to', 'your', 'vision', 'pro']",ineedlesssleep,1b1ddmi,2024-02-27 14:38:17,Splitscreen is available now and lets you add a second Mac display to your Vision Pro!,"['splitscreen', 'available', 'lets', 'add', 'second', 'mac', 'display', 'vision', 'pro']","['splitscreen', 'available', 'lets', 'add', 'second', 'mac', 'display', 'vision', 'pro']","[('[', 'RB'), (""'splitscreen"", 'MD'), (""'"", ""''""), (',', ','), (""'available"", 'JJ'), (""'"", ""''""), (',', ','), (""'lets"", 'NNS'), (""'"", 'POS'), (',', ','), (""'add"", 'NNP'), (""'"", 'POS'), (',', ','), (""'second"", ""''""), (""'"", ""''""), (',', ','), (""'mac"", 'NNP'), (""'"", 'POS'), (',', ','), (""'display"", ""''""), (""'"", ""''""), (',', ','), (""'vision"", 'NNP'), (""'"", 'POS'), (',', ','), (""'pro"", 'FW'), (""'"", 'POS'), (']', 'NN')]"
30,"['ive', 'compiled', 'a', 'list', 'of', 'interesting', 'tidbits', 'and', 'findings', 'from', 'all', 'reviews', 'released', 'today']",NorthernFrostByte,1af69j0,2024-01-31 02:03:28,I've compiled a list of interesting tidbits and findings from all reviews released today,"['ive', 'compiled', 'list', 'interesting', 'tidbits', 'findings', 'reviews', 'released', 'today']","['ive', 'compiled', 'list', 'interesting', 'tidbits', 'findings', 'reviews', 'released', 'today']","[('[', 'RB'), (""'ive"", 'JJ'), (""'"", ""''""), (',', ','), (""'compiled"", 'VBD'), (""'"", ""''""), (',', ','), (""'list"", ""''""), (""'"", ""''""), (',', ','), (""'interesting"", 'VBG'), (""'"", ""''""), (',', ','), (""'tidbits"", 'NNS'), (""'"", 'POS'), (',', ','), (""'findings"", 'NNS'), (""'"", 'POS'), (',', ','), (""'reviews"", 'NNS'), (""'"", 'POS'), (',', ','), (""'released"", 'VBD'), (""'"", ""''""), (',', ','), (""'today"", ""''""), (""'"", 'POS'), (']', 'NN')]"
31,"['not', 'telling', 'people', 'that', 'you', 'have', 'it']",LaGrabba,1atztbd,2024-02-18 17:42:22,Not Telling People That You Have It,"['telling', 'people']","['telling', 'people']","[('[', 'RB'), (""'telling"", 'VBG'), (""'"", ""''""), (',', ','), (""'people"", ""''""), (""'"", 'POS'), (']', 'NN')]"
32,"['small', 'features', 'youve', 'discovered', 'while', 'using', 'apple', 'vision', 'pro']",drusoicy,1ai72ht,2024-02-03 21:43:49,Small Features You’ve Discovered While Using Apple Vision Pro?,"['small', 'features', 'youve', 'discovered', 'using', 'apple', 'vision', 'pro']","['small', 'features', 'youve', 'discovered', 'using', 'apple', 'vision', 'pro']","[('[', 'RB'), (""'small"", 'DT'), (""'"", ""''""), (',', ','), (""'features"", 'NNS'), (""'"", 'POS'), (',', ','), (""'youve"", 'NNP'), (""'"", 'POS'), (',', ','), (""'discovered"", 'VBD'), (""'"", ""''""), (',', ','), (""'using"", 'VBG'), (""'"", ""''""), (',', ','), (""'apple"", ""''""), (""'"", ""''""), (',', ','), (""'vision"", 'NNP'), (""'"", 'POS'), (',', ','), (""'pro"", 'FW'), (""'"", 'POS'), (']', 'NN')]"
33,"['please', 'give', 'me', 'a', 'lidar', 'only', 'view', 'so', 'i', 'can', 'sneak', 'around', 'my', 'house', 'at', 'night', 'like', 'some', 'kind', 'of', 'futuristic', 'special', 'forces', 'operator']",hgravesc,195ql7l,2024-01-13 15:35:37,Please give me a LIDAR only view so I can sneak around my house at night like some kind of futuristic special forces operator.,"['please', 'give', 'lidar', 'view', 'sneak', 'around', 'house', 'night', 'like', 'kind', 'futuristic', 'special', 'forces', 'operator']","['please', 'give', 'lidar', 'view', 'sneak', 'around', 'house', 'night', 'like', 'kind', 'futuristic', 'special', 'forces', 'operator']","[('[', 'JJ'), (""'please"", 'NNP'), (""'"", 'POS'), (',', ','), (""'give"", 'CD'), (""'"", ""''""), (',', ','), (""'lidar"", 'NNP'), (""'"", 'POS'), (',', ','), (""'view"", 'NNP'), (""'"", 'POS'), (',', ','), (""'sneak"", 'NNP'), (""'"", 'POS'), (',', ','), (""'around"", 'IN'), (""'"", ""''""), (',', ','), (""'house"", 'IN'), (""'"", ""''""), (',', ','), (""'night"", 'NNP'), (""'"", 'POS'), (',', ','), (""'like"", 'IN'), (""'"", ""''""), (',', ','), (""'kind"", 'IN'), (""'"", ""''""), (',', ','), (""'futuristic"", 'JJ'), (""'"", ""''""), (',', ','), (""'special"", 'NNP'), (""'"", 'POS'), (',', ','), (""'forces"", 'NNS'), (""'"", 'POS'), (',', ','), (""'operator"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
34,"['what', 'have', 'been', 'your', 'best', 'd', 'movies', 'so', 'far']",PsychManMagicHead,1azv4k6,2024-02-25 18:34:27,What have been your best 3D movies so far?,"['best', 'movies', 'far']","['best', 'movies', 'far']","[('[', 'RB'), (""'best"", 'JJS'), (""'"", ""''""), (',', ','), (""'movies"", 'NNS'), (""'"", 'POS'), (',', ','), (""'far"", ""''""), (""'"", 'POS'), (']', 'NN')]"
35,"['i', 'feel', 'like', 'tony', 'starks', 'every', 'time', 'im', 'using', 'my', 'avp']",cr8tvt,1au6ijr,2024-02-18 22:12:52,I feel like Tony Starks every time I’m using my AVP.  ,"['feel', 'like', 'tony', 'starks', 'every', 'time', 'im', 'using', 'avp']","['feel', 'like', 'tony', 'starks', 'every', 'time', 'im', 'using', 'avp']","[('[', 'JJ'), (""'feel"", 'NNP'), (""'"", 'POS'), (',', ','), (""'like"", 'IN'), (""'"", ""''""), (',', ','), (""'tony"", 'NNP'), (""'"", 'POS'), (',', ','), (""'starks"", 'NNS'), (""'"", 'POS'), (',', ','), (""'every"", 'NNP'), (""'"", 'POS'), (',', ','), (""'time"", 'NNP'), (""'"", 'POS'), (',', ','), (""'im"", 'NNP'), (""'"", 'POS'), (',', ','), (""'using"", 'VBG'), (""'"", ""''""), (',', ','), (""'avp"", ""''""), (""'"", 'POS'), (']', 'NN')]"
36,"['why', 'does', 'the', 'vision', 'pro', 'have', 'no', 'games', 'heres', 'why']",YomKippor,1atigll,2024-02-18 01:44:31,Why does the Vision Pro have no games? Here's why!,"['vision', 'pro', 'games', 'heres']","['vision', 'pro', 'games', 'heres']","[('[', 'JJ'), (""'vision"", 'NN'), (""'"", ""''""), (',', ','), (""'pro"", 'NNP'), (""'"", 'POS'), (',', ','), (""'games"", 'NNS'), (""'"", 'POS'), (',', ','), (""'heres"", 'NNS'), (""'"", 'POS'), (']', 'NN')]"
37,"['your', 'wishlist', 'for', 'nearfuture', 'visionos', 'updates']",Zestyclose_Isopod_75,1ay45fb,2024-02-23 16:04:53,Your wishlist for near-future VisionOS Updates?,"['wishlist', 'nearfuture', 'visionos', 'updates']","['wishlist', 'nearfuture', 'visionos', 'updates']","[('[', 'JJ'), (""'wishlist"", 'NN'), (""'"", ""''""), (',', ','), (""'nearfuture"", 'NN'), (""'"", ""''""), (',', ','), (""'visionos"", ""''""), (""'"", ""''""), (',', ','), (""'updates"", 'VBZ'), (""'"", 'POS'), (']', 'NN')]"
38,['disappointed'],outhighking,1ahe2fr,2024-02-02 20:58:17,Disappointed,['disappointed'],['disappointed'],"[('[', 'RB'), (""'disappointed"", 'VBN'), (""'"", ""''""), (']', 'NNS')]"
39,"['feb', 'nd', 'is', 'christmas', 'for', 'all', 'of', 'us']",cr8tvt,19bo7xo,2024-01-20 22:48:50,Feb 2nd is Christmas for all of us.,"['feb', 'nd', 'christmas', 'us']","['feb', 'nd', 'christmas', 'us']","[('[', 'JJ'), (""'feb"", 'NNP'), (""'"", 'POS'), (',', ','), (""'nd"", 'NNP'), (""'"", 'POS'), (',', ','), (""'christmas"", ""''""), (""'"", ""''""), (',', ','), (""'us"", ""''""), (""'"", 'POS'), (']', 'NN')]"
40,"['what', 'cant', 'you', 'do', 'with', 'vision', 'pro']",camerusa,1aztzu4,2024-02-25 17:49:48,What can’t you do with Vision Pro?,"['cant', 'vision', 'pro']","['cant', 'vision', 'pro']","[('[', 'NN'), (""'cant"", ""''""), (""'"", ""''""), (',', ','), (""'vision"", 'NNP'), (""'"", 'POS'), (',', ','), (""'pro"", 'FW'), (""'"", 'POS'), (']', 'NN')]"
41,"['who', 'else', 'wore', 'it', 'basically', 'the', 'whole', 'saturday']",tomorrowlandman,1aiqr1p,2024-02-04 15:44:46,Who else wore it? basically the whole Saturday?,"['else', 'wore', 'basically', 'whole', 'saturday']","['else', 'wore', 'basically', 'whole', 'saturday']","[('[', 'NN'), (""'else"", ""''""), (""'"", ""''""), (',', ','), (""'wore"", ""''""), (""'"", ""''""), (',', ','), (""'basically"", 'RB'), (""'"", 'POS'), (',', ','), (""'whole"", 'NNP'), (""'"", 'POS'), (',', ','), (""'saturday"", ""''""), (""'"", 'POS'), (']', 'NN')]"
42,"['kuo', 'estimates', 'apple', 'sold', 'vision', 'pro', 'units', 'during', 'opening', 'preorder', 'weekend']",nickg52200,19cnagz,2024-01-22 04:32:52,"Kuo: Estimates Apple sold 160,000-180,000 Vision Pro units during opening pre-order weekend","['kuo', 'estimates', 'apple', 'sold', 'vision', 'pro', 'units', 'opening', 'preorder', 'weekend']","['kuo', 'estimates', 'apple', 'sold', 'vision', 'pro', 'units', 'opening', 'preorder', 'weekend']","[('[', 'JJ'), (""'kuo"", 'NNP'), (""'"", 'POS'), (',', ','), (""'estimates"", 'NNS'), (""'"", 'POS'), (',', ','), (""'apple"", ""''""), (""'"", ""''""), (',', ','), (""'sold"", ""''""), (""'"", ""''""), (',', ','), (""'vision"", 'NNP'), (""'"", 'POS'), (',', ','), (""'pro"", 'NNP'), (""'"", 'POS'), (',', ','), (""'units"", 'NNS'), (""'"", 'POS'), (',', ','), (""'opening"", 'VBG'), (""'"", ""''""), (',', ','), (""'preorder"", ""''""), (""'"", ""''""), (',', ','), (""'weekend"", 'VBP'), (""'"", 'POS'), (']', 'NN')]"
43,"['that', 'was', 'painless']",rhebdon,19ainha,2024-01-19 13:05:40,That was painless,['painless'],['painless'],"[('[', 'JJ'), (""'painless"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
44,"['comment', 'for', 'those', 'with', 'young', 'kids', 'or', 'soon', 'to', 'be', 'parents']",WANDO43,1b3wxon,2024-03-01 15:26:24,Comment for those with young kids or soon to be parents:,"['comment', 'young', 'kids', 'soon', 'parents']","['comment', 'young', 'kids', 'soon', 'parents']","[('[', 'JJ'), (""'comment"", 'NN'), (""'"", ""''""), (',', ','), (""'young"", 'NNP'), (""'"", 'POS'), (',', ','), (""'kids"", 'NNS'), (""'"", 'POS'), (',', ','), (""'soon"", ""''""), (""'"", ""''""), (',', ','), (""'parents"", 'NNS'), (""'"", 'POS'), (']', 'NN')]"
45,"['it', 'would', 'be', 'so', 'cool', 'to', 'have', 'immersion', 'environment', 'under', 'the', 'ocean']",cr8tvt,1aq6b5h,2024-02-13 22:18:36,It would be so cool to have immersion environment under the ocean.,"['would', 'cool', 'immersion', 'environment', 'ocean']","['would', 'cool', 'immersion', 'environment', 'ocean']","[('[', 'NN'), (""'would"", 'MD'), (""'"", ""''""), (',', ','), (""'cool"", 'NNP'), (""'"", 'POS'), (',', ','), (""'immersion"", 'NN'), (""'"", ""''""), (',', ','), (""'environment"", 'NNP'), (""'"", 'POS'), (',', ','), (""'ocean"", ""''""), (""'"", 'POS'), (']', 'NN')]"
